0.000000e+00	0.000000e+00	0.000000e+00	-2.000000e+03	2.500000e-01	1.130000e+01	2.073800e-01	1.000000e+00	0.000000e+00	1
5.000000e+02	9.112960e+01	3.149965e+02	3.412690e-01	3.003663e-01	7.452206e+00	2.842526e-01	-7.769420e+01	1.215365e+02	2
1.000000e+03	9.450577e+01	3.129285e+02	3.068905e-01	2.979823e-01	7.454173e+00	2.864263e-01	-7.769420e+01	1.211450e+02	3
1.500000e+03	9.444939e+01	3.127289e+02	3.026154e-01	2.974569e-01	7.456081e+00	2.854485e-01	-7.769420e+01	1.211342e+02	4
2.000000e+03	9.435437e+01	3.128648e+02	3.007806e-01	2.970521e-01	7.457876e+00	2.846183e-01	-7.769420e+01	1.211512e+02	5
2.500000e+03	9.427435e+01	3.129531e+02	2.992623e-01	2.967168e-01	7.459573e+00	2.839485e-01	-7.769420e+01	1.211676e+02	6
3.000000e+03	9.420933e+01	3.129991e+02	2.980095e-01	2.964383e-01	7.461189e+00	2.834025e-01	-7.769420e+01	1.211813e+02	7
3.500000e+03	9.415432e+01	3.130174e+02	2.969712e-01	2.962061e-01	7.462736e+00	2.829533e-01	-7.769420e+01	1.211927e+02	8
4.000000e+03	9.410930e+01	3.130182e+02	2.961067e-01	2.960117e-01	7.464227e+00	2.825813e-01	-7.769420e+01	1.212022e+02	9
4.500000e+03	9.407429e+01	3.130080e+02	2.953839e-01	2.958486e-01	7.465669e+00	2.822712e-01	-7.769420e+01	1.212101e+02	10
5.000000e+03	9.404428e+01	3.129910e+02	2.947771e-01	2.957111e-01	7.467070e+00	2.820117e-01	-7.769420e+01	1.212168e+02	11
5.500000e+03	9.400927e+01	3.129852e+02	2.942661e-01	2.955950e-01	7.468434e+00	2.817935e-01	-7.769420e+01	1.212225e+02	12
6.000000e+03	9.398927e+01	3.130391e+02	2.938632e-01	2.954967e-01	7.469768e+00	2.816097e-01	-7.769420e+01	1.212274e+02	13
6.500000e+03	9.396926e+01	3.130830e+02	2.935264e-01	2.954135e-01	7.471074e+00	2.814544e-01	-7.769420e+01	1.212315e+02	14
7.000000e+03	9.395425e+01	3.131196e+02	2.932406e-01	2.953428e-01	7.472356e+00	2.813231e-01	-7.769420e+01	1.212352e+02	15
7.500000e+03	9.393925e+01	3.131492e+02	2.929981e-01	2.952829e-01	7.473616e+00	2.812120e-01	-7.769420e+01	1.212383e+02	16
8.000000e+03	9.392424e+01	3.131743e+02	2.927925e-01	2.952321e-01	7.474858e+00	2.811181e-01	-7.769420e+01	1.212411e+02	17
8.500000e+03	9.391424e+01	3.131955e+02	2.926182e-01	2.951891e-01	7.476083e+00	2.810388e-01	-7.769420e+01	1.212435e+02	18
9.000000e+03	9.390423e+01	3.132134e+02	2.924707e-01	2.951528e-01	7.477293e+00	2.809720e-01	-7.769420e+01	1.212456e+02	19
9.500000e+03	9.389923e+01	3.132286e+02	2.923464e-01	2.951222e-01	7.478489e+00	2.809160e-01	-7.769420e+01	1.212475e+02	20
1.000000e+04	9.388922e+01	3.132416e+02	2.922420e-01	2.950966e-01	7.479673e+00	2.808692e-01	-7.769420e+01	1.212492e+02	21
1.050000e+04	9.388422e+01	3.132528e+02	2.921549e-01	2.950753e-01	7.480845e+00	2.808305e-01	-7.769420e+01	1.212507e+02	22
1.100000e+04	9.387921e+01	3.132625e+02	2.920826e-01	2.950577e-01	7.482007e+00	2.807986e-01	-7.769420e+01	1.212520e+02	23
1.150000e+04	9.387421e+01	3.132708e+02	2.920232e-01	2.950434e-01	7.483159e+00	2.807727e-01	-7.769420e+01	1.212532e+02	24
1.200000e+04	9.386921e+01	3.132781e+02	2.919751e-01	2.950319e-01	7.484303e+00	2.807521e-01	-7.769420e+01	1.212543e+02	25
1.250000e+04	9.386920e+01	3.132844e+02	2.919367e-01	2.950228e-01	7.485438e+00	2.807360e-01	-7.769420e+01	1.212553e+02	26
1.300000e+04	9.386420e+01	3.132898e+02	2.919069e-01	2.950158e-01	7.486566e+00	2.807238e-01	-7.769420e+01	1.212562e+02	27
1.350000e+04	9.385919e+01	3.132946e+02	2.918844e-01	2.950107e-01	7.487687e+00	2.807151e-01	-7.769420e+01	1.212570e+02	28
1.400000e+04	9.385919e+01	3.132987e+02	2.918685e-01	2.950073e-01	7.488800e+00	2.807094e-01	-7.769420e+01	1.212577e+02	29
1.450000e+04	9.385419e+01	3.133023e+02	2.918582e-01	2.950052e-01	7.489908e+00	2.807063e-01	-7.769420e+01	1.212584e+02	30
1.500000e+04	9.385418e+01	3.133054e+02	2.918529e-01	2.950044e-01	7.491009e+00	2.807055e-01	-7.769420e+01	1.212590e+02	31
1.550000e+04	9.385418e+01	3.133080e+02	2.918518e-01	2.950046e-01	7.492105e+00	2.807067e-01	-7.769420e+01	1.212596e+02	32
1.600000e+04	9.384918e+01	3.133103e+02	2.918546e-01	2.950059e-01	7.493195e+00	2.807097e-01	-7.769420e+01	1.212602e+02	33
1.650000e+04	9.384917e+01	3.133122e+02	2.918606e-01	2.950079e-01	7.494280e+00	2.807142e-01	-7.769420e+01	1.212607e+02	34
1.700000e+04	9.384917e+01	3.133137e+02	2.918695e-01	2.950106e-01	7.495359e+00	2.807200e-01	-7.769420e+01	1.212612e+02	35
1.750000e+04	9.384917e+01	3.133150e+02	2.918809e-01	2.950140e-01	7.496434e+00	2.807270e-01	-7.769420e+01	1.212617e+02	36
1.800000e+04	9.384416e+01	3.133160e+02	2.918945e-01	2.950179e-01	7.497504e+00	2.807350e-01	-7.769420e+01	1.212621e+02	37
